Type,Local Number,Message,Field 1,Value 1,Units 1,Field 2,Value 2,Units 2,Field 3,Value 3,Units 3,Field 4,Value 4,Units 4,Field 5,Value 5,Units 5,Field 6,Value 6,Units 6,Field 7,Value 7,Units 7,Field 8,Value 8,Units 8,Field 9,Value 9,Units 9,Field 10,Value 10,Units 10,Field 11,Value 11,Units 11,Field 12,Value 12,Units 12,Field 13,Value 13,Units 13,Field 14,Value 14,Units 14,Field 15,Value 15,Units 15,Field 16,Value 16,Units 16,Field 17,Value 17,Units 17,Field 18,Value 18,Units 18,Field 19,Value 19,Units 19,Field 20,Value 20,Units 20
Data,0,workout_step,duration_distance,2414.02,,target_value,0,,custom_target_value_low,53,,custom_target_value_high,58,,message_index,1,,duration_type,1,,target_type,4,,intensity,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data,0,workout_step,duration_distance,2768.076267,,target_value,0,,custom_target_value_low,60,,custom_target_value_high,67,,message_index,1,,duration_type,1,,target_type,4,,intensity,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data,0,workout_step,duration_distance,3540.562667,,target_value,0,,custom_target_value_low,57,,custom_target_value_high,63,,message_index,1,,duration_type,1,,target_type,4,,intensity,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data,0,workout_step,duration_distance,1384.038133,,target_value,0,,custom_target_value_low,63,,custom_target_value_high,70,,message_index,1,,duration_type,1,,target_type,4,,intensity,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data,0,workout_step,duration_distance,1528.879333,,target_value,0,,custom_target_value_low,54,,custom_target_value_high,59,,message_index,1,,duration_type,1,,target_type,4,,intensity,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data,0,workout_step,duration_distance,3250.880267,,target_value,0,,custom_target_value_low,63,,custom_target_value_high,69,,message_index,1,,duration_type,1,,target_type,4,,intensity,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data,0,workout_step,duration_distance,595.4582667,,target_value,0,,custom_target_value_low,56,,custom_target_value_high,62,,message_index,1,,duration_type,1,,target_type,4,,intensity,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data,0,workout_step,duration_distance,386.2432,,target_value,0,,custom_target_value_low,0,,custom_target_value_high,0,,message_index,1,,duration_type,1,,target_type,4,,intensity,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data,0,workout_step,duration_distance,740.2994667,,target_value,0,,custom_target_value_low,57,,custom_target_value_high,63,,message_index,1,,duration_type,1,,target_type,4,,intensity,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data,0,workout_step,duration_distance,354.0562667,,target_value,0,,custom_target_value_low,81,,custom_target_value_high,90,,message_index,1,,duration_type,1,,target_type,4,,intensity,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data,0,workout_step,duration_distance,1158.7296,,target_value,0,,custom_target_value_low,64,,custom_target_value_high,70,,message_index,1,,duration_type,1,,target_type,4,,intensity,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data,0,workout_step,duration_distance,659.8321333,,target_value,0,,custom_target_value_low,36,,custom_target_value_high,40,,message_index,1,,duration_type,1,,target_type,4,,intensity,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data,0,workout_step,duration_distance,2188.711467,,target_value,0,,custom_target_value_low,65,,custom_target_value_high,72,,message_index,1,,duration_type,1,,target_type,4,,intensity,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data,0,workout_step,duration_distance,1239.196933,,target_value,0,,custom_target_value_low,51,,custom_target_value_high,57,,message_index,1,,duration_type,1,,target_type,4,,intensity,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data,0,workout_step,duration_distance,482.804,,target_value,0,,custom_target_value_low,71,,custom_target_value_high,78,,message_index,1,,duration_type,1,,target_type,4,,intensity,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data,0,workout_step,duration_distance,1255.2904,,target_value,0,,custom_target_value_low,54,,custom_target_value_high,59,,message_index,1,,duration_type,1,,target_type,4,,intensity,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data,0,workout_step,duration_distance,2558.8612,,target_value,0,,custom_target_value_low,60,,custom_target_value_high,66,,message_index,1,,duration_type,1,,target_type,4,,intensity,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data,0,workout_step,duration_distance,1738.0944,,target_value,0,,custom_target_value_low,49,,custom_target_value_high,55,,message_index,1,,duration_type,1,,target_type,4,,intensity,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data,0,workout_step,duration_distance,2945.1044,,target_value,0,,custom_target_value_low,60,,custom_target_value_high,66,,message_index,1,,duration_type,1,,target_type,4,,intensity,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data,0,workout_step,duration_distance,2768.076267,,target_value,0,,custom_target_value_low,54,,custom_target_value_high,59,,message_index,1,,duration_type,1,,target_type,4,,intensity,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data,0,workout_step,duration_distance,5858.021867,,target_value,0,,custom_target_value_low,57,,custom_target_value_high,63,,message_index,1,,duration_type,1,,target_type,4,,intensity,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
